NOME DA ESTACIÓN;ENDEREZO;CONCELLO;CÓDIGO POSTAL;PROVINCIA;TELÉFONO;HORARIO;SOLICITUDE DE CITA PREVIA;CORREO ELECTRÓNICO;COORDENADAS GMAPS
Estación ITV do Espírito Santo;Estrada Nacional VI, km 582 - Polígono do Espírito Santo ;Sada;15168;A Coruña;981 611 611 - 881 920 321;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-espirito-santo;espsanto@sycitv.com;43° 18.856', -8° 17.165'
Estación ITV de Santiago-Tambre;Vía de la Cierva, 2;Santiago de Compostela;15890;A Coruña;981 571 100 - 881 920 326;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=santiago-tambre ;tambre@sycitv.com;42° 54.775', -8° 31.618'
Estación ITV da Coruña-Sabón;Avenida da Deputación - Polígono Industrial de Sabón - Parcela 69;Arteixo;15142;A Coruña;981 602 356 - 881 920 323;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/estacions-syc/a-coruna-sabon/ ;sabon@sycitv.com;43° 18.891', -8° 30.461'
Estación ITV de Santiago-Cacheiras;Travesía de Cacheiras, 128 - Cacheiras;Teo;15886;A Coruña;981 806 009 - 881 920 327;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=santiago-cacheiras;cacheiras@sycitv.com;42° 48.631', -8° 32.762'
Estación ITV de Ferrol;Avenida do Mar, 106 - Polígono Industrial da Gándara;Narón;15570;A Coruña;981 315 051 - 881 920 328;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=ferrol ;ferrol@sycitv.com;43° 29.441', -8° 11.784'
Estación ITV de Ribeira;Avenida da Coruña, 76 - Polígono Industrial de Xarás;Ribeira;15969;A Coruña;981 872 400;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=ribeira;ribeira@sycitv.com;42° 34.439', -8° 59.915'
Estación ITV de Santiago-A Sionlla;Polígono industrial da Sionlla - Rúa Comunidade Valenciana 3;Santiago de Compostela;15707;A Coruña;;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=santiago-a-sionlla ;;42.906076,-8.498523
Estación ITV do Allo;Parque Empresarial do Allo - Parcela 17 - O Allo;Zas;15851;A Coruña;881 920 494;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-allo ;oallo@sycitv.com;43° 9.303', -8° 56.227'
Estación ITV de Viveiro;Rúa A Xunqueira, s/n;Viveiro;27850;Lugo;881 920 963;de 8:30 a 14:00 e de 16:00 a 19:30 horas (de luns a venres) e de 8:00 a 14:30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=viveiro ;viveiro@sycitv.com;43° 39.382', -7° 36.091'
Estación ITV de Monforte de Lemos;Rúa do Morín, s/n;Monforte de Lemos;27400;Lugo;982 410 412;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=monforte-de-lemos;monforte@sycitv.com;42° 32.491', -7° 30.038'
Estación ITV de Lugo;Polígono Industrial do Ceao - Rúa das Comunicacións - Parcela 98B;Lugo;27003;Lugo;982 209 037 - 881 920 324;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=lugo ;lugo@sycitv.com;43° 2.576', -7° 33.594'
Estación ITV de Foz;Rúa Chelas, 17 - Cangas;Foz;27780;Lugo;881 920 962;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=foz ;foz@sycitv.com;43° 37.159', -7° 19.383'
Estación ITV de Vilalba;Polígono Sete Pontes - Rúa do Toxo - Parcela 26;Vilalba;27800;Lugo;881 920 491;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=vilalba ;vilalba@sycitv.com;43° 19.000', -7° 39.852'
Estación ITV do Barco;Avenida do Sil, 35 - Viloira;Barco de Valdeorras, O;32315;Ourense;881 920 967;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-barco ;obarco@sycitv.com;42° 24.578', -6° 58.435'
Estación ITV do Carballiño;Parque empresarial do Carballiño - Parcela 30;Carballiño, O;32500;Ourense;;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-carballino ;;42.439377,-8.051152
