NOME DA ESTACIÓN;ENDEREZO;CONCELLO;CÓDIGO POSTAL;PROVINCIA;TELÉFONO;HORARIO;SOLICITUDE DE CITA PREVIA;CORREO ELECTRÓNICO;COORDENADAS GMAPS
Estación ITV do Espírito Santo;Estrada Nacional VI, km 582 - Polígono do Espírito Santo;Sada;15168;A Coruña;981 611 611 - 881 920 321;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-espirito-santo;espsanto@sycitv.com;43° 18.856', -8° 17.165'
Estación ITV de Santiago-Tambre;Vía de la Cierva, 2;Santiago de Compostela;15890;A Coruña;981 571 100 - 881 920 326;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=santiago-tambre ;tambre@sycitv.com;42° 54.775', -8° 31.618'
Estación ITV do Allo;Parque Empresarial do Allo - Parcela 17 - O Allo;Zas;15851;Coruña;881 920 494;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=o-allo ;oallo@sycitv.com;43° 9.303', -8° 56.227'
Estación ITV de Viveiro;Rúa A Xunqueira, s/n;Viveiro;27850;Lugo;881 920 963;de 8:30 a 14:00 e de 16:00 a 19:30 horas (de luns a venres) e de 8:00 a 14:30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=viveiro ;viveiro@sycitv.com;43° 39.382', -7° 36.091'
Estación ITV de Monforte de Lemos;Rúa do Morín, s/n;Monforte de Lemos;27400;Lugo;982 410 412;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=monforte-de-lemos;monforte@sycitv.com;42° 32.491', -7° 30.038'
Estación ITV de Lugo;Polígono Industrial do Ceao - Rúa das Comunicacións - Parcela 98B;Lugo;271003;Lugo;982 209 037 - 881 920 324;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=lugo ;lugo@sycitv.com;43° 2.576', -7° 33.594'
Estación ITV de Foz;Rúa Chelas, 17 - Cangas;Foz;27780;Lugo;881 920 962;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=foz ;foz@sycitv.com;43° 37.159', -7° 19.383'
Estación ITV de Verín;Polígono de Pazos - Parcela A-6;Verín;32600;Ourense;988 411 539 - 881 920 966;de 8:30 a 14:00 e de 16:00 a 19:30 horas (de luns a venres) e de 8:00 a 14:30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=verin;verin@sycitv.com;41° 55.723', -7° 27.876'
Estación ITV de Xinzo;Parque empresarial Xinzo de Limia - Parcela 47;Xinzo de Limia;32630;Ourense;881 920 492;de 9:00 a 13:30 e de 15:15 a 18:00 horas (de luns a venres);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=xinzo;xinzo@sycitv.com;42° 4.681', -7° 43.362'
Estación ITV de Lalín;Parque empresarial Lalín 2000 - Parcela B-52;Lalín;36500;Pontevedra;986 794 103 - 881 920 970;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=lalin;lalin@sycitv.com;42° 40.534', -8° 9.183'
Estación ITV de Bueu;Polígono Industrial de Castiñeiras - Parcela 32;Bueu;36390;Pontevedra;881 920 493;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=bueu;bueu@sycitv.com;42° 18.347', -8° 47.543'
Estación ITV de Foz;Rúa Chelas, 17 - Cangas;Foz;27780;Lugo;881 920 962;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=foz ;foz@sycitv.com;43° 37.159', -7° 19.383'
Estación ITV de Nigrán;Parque empresarial Porto do Molle - Parcela 8.12;Nigrán;36350;Pontevedra;;de 8.00 a 21.00 horas (de luns a venres) e de 8.00 a 14.30 horas (sábados);https://www.sycitv.com/gl/cita-previa-particulares/?estacion=nigran  ;;412.135887,-8.788971
